Date	Order ID	SKU	Transaction type	Payment Type	Payment Detail	Amount	Quantity	Product Title
Oct 9, 2018	114-9822483-5137063	8G-X7W0-6URW	Order Payment	Product charges		$15.10	1	Pyrex 6-Ounce Custard Cups, Set of 4
Oct 9, 2018	114-9822483-5137063	8G-X7W0-6URW	Order Payment	Other	Product Tax	$0.90		Pyrex 6-Ounce Custard Cups, Set of 4
Oct 9, 2018	114-0077872-3437009	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Exederm Shampoo, 8 fl. Ounce
Oct 9, 2018	114-0077872-3437009	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.92		Exederm Shampoo, 8 fl. Ounce
Oct 9, 2018	114-0077872-3437009	SN-Z9YH-LPU6	Order Payment	Product charges		$19.49	1	Exederm Shampoo, 8 fl. Ounce
Oct 9, 2018	111-0841787-0189847	YL-ODHG-X4FA	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 9, 2018	111-0841787-0189847	YL-ODHG-X4FA	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.40		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 9, 2018	111-0841787-0189847	YL-ODHG-X4FA	Order Payment	Product charges		$15.99	1	Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 9, 2018	111-4511223-5112254	AL-4O0H-7PPZ	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Raid Jumbo Fly Stick (Pack of 3)
Oct 9, 2018	111-4511223-5112254	AL-4O0H-7PPZ	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.65		Raid Jumbo Fly Stick (Pack of 3)
Oct 9, 2018	111-4511223-5112254	AL-4O0H-7PPZ	Order Payment	Product charges		$17.66	1	Raid Jumbo Fly Stick (Pack of 3)
Oct 9, 2018	113-5913608-7626663	AL-4O0H-7PPZ	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Raid Jumbo Fly Stick (Pack of 3)
Oct 9, 2018	113-5913608-7626663	AL-4O0H-7PPZ	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.65		Raid Jumbo Fly Stick (Pack of 3)
Oct 9, 2018	113-5913608-7626663	AL-4O0H-7PPZ	Order Payment	Product charges		$17.66	1	Raid Jumbo Fly Stick (Pack of 3)
Oct 9, 2018	112-3907122-4490624	AL-4O0H-7PPZ	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Raid Jumbo Fly Stick (Pack of 3)
Oct 9, 2018	112-3907122-4490624	AL-4O0H-7PPZ	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.65		Raid Jumbo Fly Stick (Pack of 3)
Oct 9, 2018	112-3907122-4490624	AL-4O0H-7PPZ	Order Payment	Product charges		$17.66	1	Raid Jumbo Fly Stick (Pack of 3)
Oct 9, 2018	113-0131234-8685837	UC-6NZR-J43C	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		HempFusion Sleep, Whole Food Hemp Complex, 30 Vegetarian Liquid Capsules
Oct 9, 2018	113-0131234-8685837	UC-6NZR-J43C	Order Payment	Amazon fees	Referral Fee on Item Price	$-7.95		HempFusion Sleep, Whole Food Hemp Complex, 30 Vegetarian Liquid Capsules
Oct 9, 2018	113-0131234-8685837	UC-6NZR-J43C	Order Payment	Product charges		$52.99	1	HempFusion Sleep, Whole Food Hemp Complex, 30 Vegetarian Liquid Capsules
Oct 9, 2018	113-0131234-8685837	UC-6NZR-J43C	Order Payment	Promo rebates		$0.00	1	HempFusion Sleep, Whole Food Hemp Complex, 30 Vegetarian Liquid Capsules
Oct 9, 2018	112-7988015-6560255	99-XD7Z-BADC	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-4.71		Casabella Rectangular Storage Caddy, 4 gallons
Oct 9, 2018	112-7988015-6560255	99-XD7Z-BADC	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.95		Casabella Rectangular Storage Caddy, 4 gallons
Oct 9, 2018	112-7988015-6560255	99-XD7Z-BADC	Order Payment	Product charges		$12.97	1	Casabella Rectangular Storage Caddy, 4 gallons
Oct 9, 2018	111-4377694-2317838	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Exederm Shampoo, 8 fl. Ounce
Oct 9, 2018	111-4377694-2317838	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.92		Exederm Shampoo, 8 fl. Ounce
Oct 9, 2018	111-4377694-2317838	SN-Z9YH-LPU6	Order Payment	Product charges		$19.49	1	Exederm Shampoo, 8 fl. Ounce
